"Symbol","Date/Time","Buy/Sell","Quantity","Price","Commission"
"CTMX","2025-09-27;05:55:05 AEST","BUY","171","2.9","-0.858762"
"CTMX","2025-09-26;23:30:02 AEST","SELL","-71","3.03","-1.013348"
"CTMX","2025-09-26;23:30:02 AEST","SELL","-600","3.03","-2.4678"
"CXW","2025-09-23;23:49:46 AEST","BUY","31","21.57","-1.000682"
"CXW","2025-09-23;23:49:46 AEST","BUY","100","21.57","-0.0022"
"CXW","2025-09-23;23:49:46 AEST","BUY","55","21.57","-0.00121"
"CXW","2025-09-29;23:44:26 AEST","SELL","-86","22.1","-1.016168"
"CXW","2025-09-29;23:44:26 AEST","SELL","-100","22.1","-0.0188"
"DGNX","2025-09-23;05:55:04 AEST","BUY","100","17.5","-1.0022"
"DGNX","2025-09-23;05:55:10 AEST","BUY","37","17.5","-0.000814"
"DGNX","2025-09-22;23:30:00 AEST","SELL","-137","16.94","-1.025756"
"DKI","2025-09-30;01:35:11 AEST","BUY","100","10.32","-1.0022"
"DKI","2025-09-30;01:35:11 AEST","BUY","93","10.32","-0.002046"
"DKI","2025-09-30;05:55:05 AEST","SELL","-100","10.31","-1.0188"
"DKI","2025-09-30;05:55:05 AEST","SELL","-93","10.31","-0.017484"
"DXYZ","2025-09-30;01:31:48 AEST","BUY","85","23.26","-1.00187"
"DXYZ","2025-10-01;01:14:05 AEST","BUY","90","22.18","-1.00198"
"DXYZ","2025-09-30;05:55:05 AEST","SELL","-85","22.93","-1.01598"
"DXYZ","2025-10-01;05:55:07 AEST","SELL","-90","21.08","-1.01692"
"ETSY","2025-09-29;23:57:56 AEST","BUY","60","65.57","-1.00132"
"EWTX","2025-09-25;23:32:44 AEST","BUY","124","16.07","-1.002728"
"EWTX","2025-09-27;04:49:09 AEST","BUY","28","16.38","-1.000616"
"EWTX","2025-09-27;04:49:10 AEST","BUY","100","16.37","-0.0022"
"EWTX","2025-09-26;05:04:55 AEST","SELL","-124","15.12","-1.023312"
